1-1,She was fond of playing the piano since her childhood.
1-2,"As he grew older, he became more mature and responsible."
1-3,They discovered that a few pages were missing from the book.
1-4,He always carried his mobile phone with him wherever he went.
1-5,The meeting had a significant impact on the project''s outcome.
1-6,The weather turned stormy with dark clouds and heavy rain.
1-7,He couldn''t afford to buy a new car at the moment.
1-8,She appreciated the support and encouragement from her friends.
1-9,Balancing work and personal life can be challenging.
1-10,The outcome of the competition disappointed him.
1-11,He had to elbow his way through the crowd to reach the front of the stage.
1-12,She misted the plants with water to keep them hydrated and healthy.
1-13,They actively participated in the discussion and shared their ideas.
1-14,The rules restrict the use of cell phones in the classroom.
1-15,He swore to tell the truth during the court proceedings.
1-16,The farmer stored hay in the barn for the winter.
1-17,He cherished the memories of his childhood.
1-18,The company valued its clients and provided excellent service.
1-19,She gave a detailed description of the painting to the art class.
1-20,They had to dig a ditch to redirect the water flow.
1-21,The employee received an award for outstanding performance.
1-22,"Their expectations for the event were high, but it fell short."
1-23,The faucet in the kitchen started leaking and needed repair.
1-24,He clenched his fist in frustration.
1-25,A five-year price freeze is due to end next month for customers of the gas company.
1-26,"As the car swung round the corner, she held on to the grab handle to steady herself."
1-27,She made an appointment with her hairdresser for a haircut.
1-28,The long journey took them through different cities and landscapes.
1-29,He carefully read the label on the package before using the product.
1-30,"There was a leak in the roof, causing water to drip into the room."
1-31,The rights of minorities should be protected and respected.
1-32,She was in a state of misery after losing her job.
1-33,They enjoyed eating fresh plums from the orchard.
1-34,The landlord has put the rent up again.
1-35,She received a prompt response to her email inquiry.
1-36,He sat on a stool at the bar while waiting for his drink.
1-37,"They had a lot of stuff to carry, so they packed it into boxes."
1-38,The park was full of youngsters playing and enjoying themselves.
2-1,The play had a dramatic ending that left the audience in awe.
2-2,He studied electrical engineering in college.
2-3,They both love outdoor pursuits.
2-4,It is important to follow proper etiquette in social situations.
2-5,The price seems reasonable for the quality of the product.
2-6,She always approached problems in a sensible and logical manner.
2-7,The sound of the bees created a continuous buzz in the garden.
2-8,"The faucet in the kitchen started to drip, so I called a plumber to fix it."
2-9,She decided to frequent the local coffee shop because she loved their freshly brewed coffee.
2-10,Smoking can harm your health.
2-11,She liked to quote her favorite authors to add depth to her arguments.
2-12,The fruit had started to rot and needed to be discarded.
2-13,She learned how to sew and made her own clothes.
2-14,The bee stung me on the arm when I accidentally brushed against its nest.
2-15,The tow truck arrived to tow away the broken-down car from the side of the road.
2-16,She decided to tutor her classmates in math to help them improve their understanding of the subject.
2-17,We should meet up sometime and catch up.
2-18,They enjoyed playing badminton in the park.
2-19,"He worked as a carpenter, crafting beautiful furniture."
2-20,A great cheer went up from the crowd after the team scored a goal.
2-21,I think he''s got a complex about being bald.
2-22,They danced all night at the discotheque.
2-23,He wore a stylish necktie to the formal event.
2-24,The actor gave a remarkable performance in the play.
2-25,They had to deal with pests in their garden.
2-26,She ordered a pint of beer at the pub.
2-27,He showed me a few roughs of the new building.
2-28,He felt guilty for committing a sin and sought forgiveness.
2-29,"The road had a steep slope, making it difficult to climb."
2-30,All traces of the damage had vanished.
2-31,They rented a vehicle for their road trip.
3-1,He had advanced knowledge in mathematics.
3-2,She wore an exquisite ivory gown that shimmered under the soft lights of the ballroom.
3-3,"With hard work and dedication, she was able to achieve her goals."
3-4,He choked on a piece of food and needed assistance.
3-5,"After a long day at work, she liked to couch in front of the TV and relax."
3-6,She emphasized the importance of good communication skills.
3-7,The company imported goods from overseas.
3-8,Leaving the food out for too long would spoil it.
3-9,The company uses trucks to transport goods from the warehouse to the distribution centers.
3-10,He bought a new auto to commute to work.
3-11,The flower bud was about to bloom.
3-12,"He received a large reward, which was no more than his due"
3-13,They purchased new furniture for their living room.
3-14,The squirrel disappeared into a hollow at the base of the tree.
3-15,Honesty is a virtue that should be valued.
3-16,He blew the horn to alert the other drivers.
3-17,She couldn''t remember her own identity after the accident.
3-18,The kids enjoyed eating jelly with their toast.
3-19,She kept a journal to document her daily experiences.
3-20,She received a scholarship to study abroad.
3-21,The shirt had long sleeves to keep him warm.
3-22,He attached a tag to his luggage for identification.
3-23,The garden was full of colorful tulips.
3-24,She stumbled and took a tumble down the stairs.
3-25,My zip is stuck.
4-1,"He was a mighty warrior, feared by his enemies."
4-2,She has got beautiful violet eyes.
4-3,The photographer tried to capture the perfect moment.
4-4,The driver had to ditch the car on the side of the road when it broke down.
4-5,The artist used his skills to fake the appearance of an old master painting.
4-6,The balloon popped with a loud sound.
4-7,She set an alarm to remind herself of an important meeting.
4-8,"After a long workout, he sweated a lot."
4-9,His ankle began to swell after twisting it during the game.
4-10,The existence of extraterrestrial beings has been a topic of debate.
4-11,They played bingo at the community center.
4-12,They stayed in a cozy cabin in the woods.
4-13,She strived for excellence in everything she did.
4-14,He took a quick glance at the document before signing it.
4-15,The company''s headquarters were located in the city center.
4-16,The lifeboat was launched to rescue the stranded sailors.
4-17,The bed was made with crisp linen sheets.
4-18,She wrapped the gift in a colorful parcel.
4-19,The children enjoyed riding the pony at the petting zoo.
4-20,He kept the receipt as proof of purchase.
4-21,The old bicycle is covered with rust.
4-22,The scale of the fighting is almost unimaginable.
4-23,The shepherd guided his flock of sheep to the pasture.
5-1,Classical music is known for its timeless beauty and complexity.
5-2,"She folded the laundry neatly, making sure the clothes were crisp."
5-3,"She always dressed in fashionable attire, keeping up with the latest trends."
5-4,The answer to the riddle was so obvious; everyone immediately knew it.
5-5,Racial discrimination is a serious issue that needs to be addressed.
5-6,"The flowers in the garden began to bud, signaling the arrival of spring."
5-7,He enrolled in a computer programming course to learn coding.
5-8,We could see the lights of the ship winking in the distance.
5-9,"Somehow, they managed to find their way back home in the dark."
5-10,The average of the test scores was 75.
5-11,She signed the deed to officially transfer ownership of the house.
5-12,They announced their engagement at a family gathering.
5-13,The farmer harvested the ripe grain from the field.
5-14,"The bees buzzed around the hive, collecting nectar and making honey."
5-15,He was awarded an honor for his outstanding achievements.
5-16,The rain provided much-needed moisture for the dry soil.
5-17,The detective tried to solve the mystery surrounding the crime.
5-18,The news of their success brought them great relief.
5-19,She cut a slice of cake to share with her friends.
6-1,Civil disputes are often resolved through legal means.
6-2,There are three countable nouns in this sentence.
6-3,Domestic chores such as cleaning and cooking are part of everyday life.
6-4,The roads became icy after the snowstorm.
6-5,Religious practices vary across different cultures and beliefs.
6-6,The fault was discovered during a routine check.
6-7,Secondary education is typically the level of schooling after primary education.
6-8,She gave a sincere apology for her mistake.
6-9,He received a suspect package and did not dare to open it.
6-10,She decided to bare her soul and share her deepest thoughts with her closest friends.
6-11,The crowd cheered when their team scored a goal.
6-12,"After a long day, he liked to chill on the couch and watch his favorite TV show."
6-13,They decided to dump the old furniture and buy new ones.
6-14,She needed to file the important documents in the appropriate folders for easy access.
6-15,The boat floated gently on the calm water.
6-16,"He liked to gamble occasionally, hoping for a stroke of luck."
6-17,It took her some time to recover from the illness.
6-18,They spent the afternoon weeding the garden to remove unwanted plants.
6-19,The boat sailed into the peaceful bay.
6-20,She picked a bunch of flowers from the garden.
6-21,He walked with the help of a cane due to his injury.
6-22,The baby slept peacefully in the cradle.
