1-1,The action movie was so exciting that I watched it twice.
1-2,I like to take a nap in the afternoon to recharge my energy.
1-3,The fresh air in the mountains made me feel alive.
1-4,I like to start my day with a banana for breakfast.
1-5,The brown leather sofa matches the color of the walls.
1-6,She sent me a birthday card with a lovely message.
1-7,I am starving and can''t wait to eat this delicious meal.
1-8,My grandfather owns a farm where he grows vegetables.
1-9,My little sister is turning fifteen next month.
1-10,I need to finish my work first.
1-11,She handed the letter to me.
1-12,I have an idea for a new business.
1-13,The elephant is one of the largest land animals on earth.
1-14,I am going to make a cake for my friend''s birthday.
1-15,There are many different types of flowers in the garden.
1-16,May is the fifth month of the year.
1-17,The outside of the house needs painting.
1-18,You can''t please everybody.
1-19,The students were questioned on the books they had been studying.
1-20,The police officer radioed for help.
1-21,The hotel room was spacious and comfortable.
1-22,Shall we go out for dinner tonight or stay in?
1-23,The doctor gave me a shot to protect me from the flu.
1-24,The soil in this area is perfect for growing tomatoes.
1-25,I need to study for my upcoming exam.
1-26,Time how long it takes you to answer the questions.
1-27,I ate too much and now I feel sick.
1-28,He took a step toward me and asked if I needed help.
1-29,Please accept our warm welcome to attend the party tonight.
1-30,I need a simple yes or no to my questions.
2-1,I almost missed my train this morning.
2-2,The zoo has a wide variety of animal species.
2-3,Let''s begin our meeting with a quick introduction.
2-4,This computer cost me more than 30 thousand dollars.
2-5,A fight broke out between the two.
2-6,The story is a lie from start to finish.
2-7,The comedian''s jokes were really funny and had the audience in stitches.
2-8,I''m going to get a haircut at the salon tomorrow.
2-9,What time did you get home last night?
2-10,I hurt my ankle while playing basketball.
2-11,The teacher needs to ensure that the exam is at a level appropriate for the students.
2-12,I mailed a letter this morning.
2-13,There are nine students in the classroom.
2-14,There is a mark on your shirt.
2-15,"I''d love to come to your party, only I have to work."
2-16,All plants need light and water.
2-17,Would you like some soda with your meal?
2-18,This idea sounds good.
2-19,The weightlifter is very strong and can lift twice his body weight.
2-20,You are likely to be ticketed if you park illegally.
2-21,I spent the morning putting the finishing touches to the report.
2-22,There are about 10 thousand people in this town.
2-23,She climbed up the ladder.
2-24,The team was thrilled to win the championship game.
2-25,There are many different cultures and languages in the world.
3-1,Please come and join us for dinner tonight.
3-2,I love exploring different countries on holidays.
3-3,The cowboy rode his horse across the dusty plains.
3-4,I drink a glass of water every morning when I wake up.
3-5,I need to study hard for my upcoming final examination.
3-6,Please except these two items from the list.
3-7,The sound of the frog croaking in the pond was soothing.
3-8,I''m so glad you could make it to my birthday party!
3-9,It''s always hard to say goodbye to loved ones.
3-10,It''s too cold outside; let''s stay inside where it''s warm.
3-11,The comedian''s jokes made everyone laugh out loud.
3-12,The lion roared loudly at the zoo.
3-13,I never learned how to play a musical instrument.
3-14,I need to paint my bedroom.
3-15,The book owner pencilled his name on its cover.
3-16,My sister is a talented pianist and plays the piano beautifully.
3-17,The bus came right on time.
3-18,The sand on the beach was warm and soft.
3-19,The spreadsheet application is second only to word processing in terms of popularity.
3-20,The children had fun playing on the seesaw at the park.
3-21,"Sometimes, I like to go for a walk to clear my mind."
3-22,Can you sit still?
3-23,"Stop running, or you might trip and fall."
3-24,I need to wear a warm coat in the winter to stay cozy.
3-25,Let''s meet for lunch next Wednesday at noon.
3-26,The kids all behaved well.
3-27,Don''t impose your will on me.
3-28,Yellow is his favorite color.
3-29,They arrived yesterday.
4-1,I met her a long time ago.
4-2,She was born in the middle of winter.
4-3,Take care of yourself and stay healthy.
4-4,I am certain that we will succeed.
4-5,Can you draw me a picture of the ocean?
4-6,They met each other last fall.
4-7,Who is that on the far left of the photograph?
4-8,I was the first in my family to go abroad.
4-9,The government tries to fog the real issues.
4-10,I love the smell of fresh coffee in the morning.
4-11,The house fronts the city''s square.
4-12,The front of the car was badly damaged.
4-13,Please remember to iron your shirt.
4-14,Their keeper played well and made good saves.
4-15,The little kitten was sleeping in the sun.
4-16,He kneed his attacker hard.
4-17,It''s hard to leave behind what you know.
4-18,The nurse took my temperature and blood pressure.
4-19,She walked out of the room without saying a word.
4-20,He readied himself for the long journey ahead.
4-21,My grandma is seventy years old.
4-22,The smell of freshly baked cookies filled the kitchen.
4-23,He sang a beautiful song at the talent show.
4-24,This milk sours and is no longer good to drink.
4-25,Are you sure you want to do this?
4-26,He didn''t study for the test; thus he failed.
4-27,His shoes show signs of wear.
4-28,He spelt my name wrong.
5-1,I want to watch that movie again.
5-2,We reached an agreement after a long discussion.
5-3,Immigrant workers are classed as aliens.
5-4,The house needed a good clean.
5-5,Dust coated the table.
5-6,The farmer grew a variety of crops on his land.
5-7,This plant flowers in July.
5-8,Learning about history is fascinating.
5-9,The ship was holed.
5-10,I got a new job at the local bakery.
5-11,It brings me joy to spend time with my family.
5-12,Do you have any other suggestions?
5-13,Papa will be home soon for dinner.
5-14,The scene in the movie was very dramatic.
5-15,Don''t be selfish; share with your friends.
5-16,I have a set of spare keys.
5-17,The shampoo can give your hair shine.
5-18,I forgot something at home and need to go back for it.
5-19,Today is a special day; let''s celebrate!
5-20,I turned thirteen years old last week.
5-21,She viewed him with admiration.
5-22,"If you have time, do pay a visit to the local museum."
5-23,Welcome to our home!
5-24,"On the whole, I agree with this idea."
5-25,I haven''t finished my homework yet.
6-1,She was angry when she found out he had lied to her.
6-2,"He won the race by a beat, finishing just ahead of his opponent."
6-3,I saw someone hiding behind the tree in the park.
6-4,It took a lot of courage to speak up for what she believed in; she was very brave.
6-5,The camel is well adapted to living in the desert.
6-6,They always spend Christmas with their family.
6-7,"It''s cold outside, so make sure to bundle up."
6-8,My daughter is very artistic and loves to paint.
6-9,Please clean your desk before you leave for the day.
6-10,The project is still in the early stages.
6-11,He enjoys the English countryside.
6-12,I bought this gift for my sister''s birthday.
6-13,The fishing boat was grounded on rocks off the coast.
6-14,The aircraft is ready for landing.
6-15,They were the last to arrive.
6-16,I received a letter from my pen pal in Japan.
6-17,All the candles were lit.
6-18,The teacher is taking a close look at the student''s essay.
6-19,There is no excuse.
6-20,She had a cold and was constantly blowing her nose.
6-21,Please note that the shop is closed on Mondays.
6-22,All the seats in the auditorium are numbered.
6-23,Can you help me pull this heavy box to the other side of the room?
6-24,We raced each other back to the classroom.
6-25,She felt sad after watching a sad movie.
6-26,The fire fighters saved the family.
6-27,He likes to try different tastes of food.
6-28,The genie granted him three wishes.
7-1,"He walked around the city, exploring all the sights and sounds."
7-2,The sunset over the ocean was so beautiful.
7-3,Correct me if I''m wrong.
7-4,Don''t judge a book by its cover.
7-5,Write today''s date at the top of the page.
7-6,My dog loves to play fetch in the park.
7-7,You should cut down on fats and sugar.
7-8,Can you feed the cat while I''m away?
7-9,My first day at school was nerve-wracking.
7-10,Children under seven travel free.
7-11,The girl in the red dress looked stunning.
7-12,His wedding was a grand occasion.
7-13,The horse galloped gracefully across the field.
7-14,We spent the entire hour discussing the project.
7-15,Long time no see!
7-16,My mother always gives the best advice.
7-17,What''s your name? I don''t think we''ve met before.
7-18,I like to read the newspaper over breakfast.
7-19,Make sure you take a break every once in a while.
7-20,Perhaps we should postpone the meeting until next week.
7-21,The sun began to rise over the horizon.
7-22,I''ll see you tomorrow at the coffee shop.
7-23,There were two birds chirping in the tree.
7-24,Don''t forget to water the plants in the garden.
7-25,I''m afraid there is worse to come.
8-1,"Also, I want to mention that I appreciate your help."
8-2,The sound of the bell filled the air.
8-3,Look below for the answer to the question.
8-4,The blood on the ground was a sign of danger.
8-5,Who''s chairing the meeting?
8-6,He was chancing his luck driving without a license.
8-7,His eyes clouded with tears.
8-8,Would you like a cola to drink?
8-9,The cook has prepared dinner before my guests arrive.
8-10,I woke up early to catch the sunrise.
8-11,The sun rises in the east and sets in the west.
8-12,"The sky was gray and overcast, indicating rain."
8-13,These products are for the home market.
8-14,The key issue is money.
8-15,The little girl hugged her teddy bear tightly.
8-16,The club has live music every night.
8-17,Stop mothering me.
8-18,Can you please open the window to let in some fresh air?
8-19,He has been out all day.
8-20,I need a pen to write down this information.
8-21,I''m looking forward to eating a slice of pie for dessert.
8-22,He paid the bill and pocketed the change without counting it.
8-23,"After working individually, the students pooled their ideas in groups of four."
8-24,The flowers in the garden were a vibrant shade of purple.
8-25,He reasoned that he must have left his keys at home.
8-26,Can you please serve me a glass of water?
8-27,We need to have the car serviced.
8-28,What''s the size of your shirt?
8-29,Can you smell something strange?
8-30,I''ll be leaving soon to catch my flight.
8-31,My soul feels at peace when I''m surrounded by nature.
8-32,The dog lay sunning itself on the ground.
8-33,He was a tall man with broad shoulders.
8-34,I need to tie my shoes before we leave.
8-35,The old man''s face was weathered by the sun.
8-36,This room faces west.
8-37,She dressed all in white.
9-1,I baked a delicious cake for my friend''s birthday.
9-2,Be careful as you climb the ladder to the roof.
9-3,The dancer moved gracefully across the stage.
9-4,They have been dating for months.
9-5,There is a direct train to Taitung.
9-6,All good things must come to an end.
9-7,The door was locked from the inside.
9-8,It''s always good to have a good laugh with friends.
9-9,Let''s go outside and enjoy the fresh air.
9-10,I like to run in the morning to start my day off right.
9-11,My favorite season is autumn because of the colorful leaves.
9-12,She wore a short skirt to the party.
9-13,The silver necklace shone in the sunlight.
9-14,I''m sorry for the mistake I made.
9-15,He is stationed in Green Island.
9-16,The bus had left when he arrived at the bus stop.
9-17,Such a beautiful sunset is rare to see.
9-18,This is the third time I''ve told you to do your homework.
9-19,His illness was caused by overwork and want of sleep.
9-20,It''s a waste of time to hold onto grudges.
9-21,The door is wide open.
9-22,My wife and I went for a walk in the park.
9-23,The table was made of beautiful wood.
10-1,"I visited my auntie last weekend, and we had a great time together."
10-2,The cat was sleeping between the cushions on the sofa.
10-3,Regular exercise is good for the body and mind.
10-4,I need to buy some groceries at the store later.
10-5,The weather was cool and pleasant in the evening.
10-6,A group of crows flew over our house this morning.
10-7,I poured some hot tea into my cup.
10-8,We hold a dance every year to raise money for charity.
10-9,"My bedroom is upstairs, and the kitchen is downstairs."
10-10,The little ducks swam behind their mother in the pond.
10-11,Can you guess what I''m thinking?
10-12,His eyes were flashing with hate and anger.
10-13,"The heat was unbearable, and I had to turn on the air conditioner."
10-14,Please keep the noise down; I''m trying to work.
10-15,I like to cook in my kitchen and try new recipes.
10-16,My daughter takes piano lessons every week.
10-17,He lunched with a client in the famous restaurant.
10-18,May I ask you a question?
10-19,I saw a mouse running across the floor and freaked out.
10-20,Can you name all the American states?
10-21,Spending time in nature is good for our mental health.
10-22,Parents play a vital role in their children''s upbringing.
10-23,We went swimming in the pool on a hot summer day.
10-24,These goods in the store are priced too high.
10-25,I need to print some documents for work.
10-26,I always try to remember to be kind to others.
10-27,Following the traffic rule is crucial for everyone''s safety.
10-28,Please be here at eight o''clock sharp.
10-29,She likes to sing and is a member of the choir.
10-30,Taking care of your skin is essential for good health.
10-31,I didn''t get much sleep last night.
10-32,The lemon tasted too sour and made my mouth pucker.
10-33,I went to the store to buy some groceries and a new toy for my son.
10-34,I love to toy with my hair when I''m nervous.
10-35,She turns twenty years old next month.
10-36,"I have a busy week ahead, with lots of work to do."
10-37,Your advice is welcome.
10-38,When are you planning to visit your family?
10-39,I like to write in my journal before going to bed.
11-1,We went for a walk on the common.
11-2,I downed my coffee and left.
11-3,He passed the exam with ease.
11-4,The store closes at eleven o''clock tonight.
11-5,This house is not big enough for the whole family.
11-6,Even a child can understand it.
11-7,I have a strange feeling that something is not right.
11-8,The police officer pulled out his gun and ordered the suspect to surrender.
11-9,He came last in the race.
11-10,There isn''t much mail today.
11-11,We found a man nosing around in the neighborhood.
11-12,I need to order more supplies for the office.
11-13,The plane flew over the mountains and into the sunset.
11-14,The room is peopled with guests.
11-15,She enjoys reading and writing poetry in her spare time.
11-16,"It''s already six o''clock, and we need to leave soon."
11-17,I want to stay home and relax this weekend.
11-18,I''ve been searching for this book all this time.
11-19,Our team lost. It was a good game though.
11-20,The apartment unit upstairs is available for rent.
11-21,Choosing the right word can make all the difference in your writing.
11-22,I feel even worse than I did yesterday.
12-1,Autumn leaves are falling from the trees.
12-2,The child let go of the balloon and it floated away.
12-3,Please bring your own food to the party.
12-4,Playing with fire can be a danger to your safety.
12-5,The mountain peak is so high that it''s covered in snow year-round.
12-6,He swung the bat and hit the ball out of the park.
12-7,The boat sailed into the harbor at sunrise.
12-8,He is a man of iron will.
12-9,She used a sharp knife to cut the vegetables.
12-10,Breaking the law can result in serious consequences.
12-11,He lifted the box easily.
12-12,He looks nothing like his father.
12-13,Please take notice of the signs posted in the area.
12-14,The apple was a bright shade of red.
12-15,It''s a 20-minute bus ride from here to the Big City.
12-16,Someone is ringing the doorbell.
12-17,Auckland is known as the City of Sails.
12-18,The two rooms looked exactly the same.
12-19,He put on a great show for the audience.
12-20,She''s shy and doesn''t like to talk in public.
12-21,The small dog barked at the mailman.
12-22,I love going to the beach in the summer.
12-23,The cat flicked its tail as it walked away.
12-24,She told me a tale of adventure and excitement.
12-25,There are thirty days in September.
12-26,The view from the top of the mountain was breathtaking.
12-27,I doubt they''ll be able to help but it''s worth a try.
12-28,The up escalator is going up.
12-29,"I will always love you, no matter what."
12-30,I wish I could travel the world and see all its wonders.
13-1,She is able to communicate in multiple languages fluently.
13-2,His English is at the basic level.
13-3,I love the aroma of freshly baked bread in the morning.
13-4,"The center of the room was empty, providing ample space for the guests to dance."
13-5,The cow was grazing peacefully in the meadow.
13-6,I hope it stays dry for our picnic.
13-7,The army used brute force to conquer the enemy.
13-8,She spent the afternoon tending to her garden.
13-9,My mom always knows how to make me feel better.
13-10,It is nice to have a cup of tea in the evening.
13-11,I was happy to receive the gift from my friend.
13-12,The shopping center is not roofed over.
13-13,The worker sawed a tree.
13-14,I found a seat near the window and settled in for the long journey.
13-15,The tiny seed grew into a beautiful flower.
13-16,The shark swam swiftly through the water.
13-17,"Since moving to a new city, I have made many new friends."
13-18,Could you go a little slower?
13-19,The smoke from the campfire rose up into the sky.
13-20,Would you like some more sweet?
13-21,The old man cannot walk that far.
13-22,I will love you till the end of life.
13-23,The tiny kitten was so small that it could fit in the palm of your hand.
13-24,A west wind blows from the west.
13-25,"When I arrived at the station, my train had already left."
14-1,Sometimes it''s nice to be alone and have some time to yourself.
14-2,The magician made a rabbit appear out of thin air.
14-3,He managed to make a good catch just before the ball hit the ground.
14-4,The cause of the accident is still under investigation.
14-5,The cop arrested the suspect for breaking and entering.
14-6,Her cry echoed through the empty room.
14-7,My grandfather turned eighty last month and we threw him a big party.
14-8,Please enter your name and email address to sign up for the newsletter.
14-9,The fact that she was always late annoyed her friends.
14-10,All the students in the class fear their math teacher.
14-11,"I tend to forget things easily, so I always make a list."
14-12,The glass is half full.
14-13,She was a natural leader and always took charge in group projects.
14-14,Crowds of people lined the street to watch the parade.
14-15,Most people enjoy spending time with their loved ones.
14-16,The engine needs oil to function properly.
14-17,"Once you know him better, you won''t be afraid of him."
14-18,The little boy picked up a smooth rock from the beach.
14-19,She rounded her lips and whistled
14-20,The windmill is spinning round and round.
14-21,I like to sit outside and enjoy the sunshine.
14-22,She walked up the stairs to the second floor of the building.
14-23,We stepped carefully over the broken glass.
14-24,The total cost of the project was more than expected.
15-1,She was a bit nervous before the big presentation.
15-2,They sat close together.
15-3,The little kid loves to draw and color.
15-4,Today is a beautiful day; let''s make the most of it.
15-5,Let''s make each day count.
15-6,Have you ever been to Paris? It''s a beautiful city.
15-7,The factory produces thousands of products every day.
15-8,The fog was so thick that I could barely see in front of me.
15-9,My best friend dropped in and we sat gassing for hours.
15-10,She accidentally dropped the glass and it shattered into a million pieces.
15-11,My grandmother makes the best apple pie I''ve ever tasted.
15-12,We worked on the project as a group to get it done faster.
15-13,"Learning a new language can be hard, but it''s worth it."
15-14,He always wears a hat to protect his head from the sun.
15-15,There''s no place like home.
15-16,Can you show me how to use this lamp?
15-17,She switched on the bedside lamp.
15-18,"Life is short, so we should make the most of it."
15-19,Passing the exam gave him a real lift.
15-20,Mister Smith is the CEO of the company.
15-21,The moon was full and bright in the night sky.
15-22,He had a sore neck after sleeping in an awkward position.
15-23,You needn''t have hurried.
15-24,My grandfather just turned ninety years old.
15-25,He wore pants and a shirt to the job interview.
15-26,The rubber on the tire was worn down and needed to be replaced.
15-27,"She didn''t say anything, but her expression said it all."
15-28,"Someone left their umbrella in the office, I wonder who it belongs to."
15-29,They live on the South Island.
15-30,He was sporting a T-shirt with a picture of his idol.
15-31,I enjoyed my stay in Paris.
15-32,Thursday is my favorite day of the week.
15-33,We have to work until the project is finished.
15-34,Her voice was soft and soothing.
15-35,Please come in and warm yourself up.
15-36,I''m looking forward to the weekend.
15-37,It''s raining worse than ever.
15-38,The worst thing you can do is give up.
15-39,This cake is so yummy; I could eat the whole thing!
15-40,His claim about the event was proven to be false.
16-1,The ant carried a crumb on its back.
16-2,The art exhibit was incredibly diverse and thought-provoking.
16-3,The bright sun made me squint as I walked outside.
16-4,My brother and I have always been very close.
16-5,The lioness watched over her playful cub.
16-6,She loved to dance to the rhythm of the music.
16-7,The deep ocean is full of mysteries waiting to be discovered.
16-8,Being different is what makes us unique and special.
16-9,A fly is buzzing against the window.
16-10,"I believe him, for he surely would not lie to me."
16-11,The basket was full of freshly picked apples.
16-12,Interest rates have reached an all-time high.
16-13,The rabbit dug a hole in the ground to hide from the fox.
16-14,She opened the door and went in.
16-15,I don''t know anything about what happened.
16-16,I slept very little last night.
16-17,The concert was so loud that my ears were ringing for hours afterwards.
16-18,This material can be machined easily.
16-19,The house was situated in the middle of a dense forest.
16-20,It''s already six o''clock; we need to start dinner soon.
